DATE,GOLDPMGBD228NLBM
2017-07-24,1255.55
2017-07-25,1254.40
2017-07-26,1248.10
2017-07-27,1261.10
2017-07-28,1264.90
2017-07-31,1267.55
2017-08-01,1270.95
2017-08-02,1269.60
2017-08-03,1268.10
2017-08-04,1257.70
2017-08-07,1258.00
2017-08-08,1261.80
2017-08-09,1271.05
2017-08-10,1284.40
2017-08-11,1286.10
2017-08-14,1282.30
2017-08-15,.
2017-08-16,1272.75
2017-08-17,1285.15
2017-08-18,1295.80
2017-08-21,1292.90
2017-08-22,1284.20
2017-08-23,1286.65
2017-08-24,1289.00
2017-08-25,1285.30
2017-08-28,.
2017-08-29,1318.65
2017-08-30,1308.50
2017-08-31,1311.75
2017-09-01,1320.40
2017-09-04,1333.10
2017-09-05,1335.55
2017-09-06,1337.85
2017-09-07,1343.50
2017-09-08,1346.25
2017-09-11,1334.20
2017-09-12,1326.50
2017-09-13,1327.55
2017-09-14,1324.55
2017-09-15,1322.85
2017-09-18,1312.10
2017-09-19,1309.60
2017-09-20,1311.30
2017-09-21,1292.10
2017-09-22,1294.80
2017-09-25,1293.30
2017-09-26,1300.05
2017-09-27,1282.55
2017-09-28,1283.35
2017-09-29,1283.10
2017-10-02,1273.70
2017-10-03,1271.25
2017-10-04,1274.25
2017-10-05,1274.50
2017-10-06,1261.80
2017-10-09,1278.75
2017-10-10,1291.40
2017-10-11,1289.25
2017-10-12,1290.25
2017-10-13,1299.60
2017-10-16,1303.30
2017-10-17,1284.75
2017-10-18,1280.20
2017-10-19,1286.40
2017-10-20,1281.20
2017-10-23,1274.90
2017-10-24,1276.45
2017-10-25,1275.00
2017-10-26,1273.75
2017-10-27,1266.45
2017-10-30,1272.00
2017-10-31,1270.15
2017-11-01,1277.05
2017-11-02,1279.20
2017-11-03,1267.20
2017-11-06,1270.90
2017-11-07,1275.60
2017-11-08,1284.00
2017-11-09,1284.80
2017-11-10,1284.30
2017-11-13,1277.95
2017-11-14,1274.60
2017-11-15,1282.20
2017-11-16,1280.00
2017-11-17,1284.35
2017-11-20,1286.20
2017-11-21,1283.30
2017-11-22,1286.95
2017-11-23,1290.35
2017-11-24,1290.50
2017-11-27,1294.90
2017-11-28,1291.85
2017-11-29,1283.85
2017-11-30,1280.20
2017-12-01,1275.50
2017-12-04,1273.45
2017-12-05,1266.30
2017-12-06,1263.70
2017-12-07,1255.00
